
=== LoRA Training run: 2026-08-26T21:50:11 ===
step | epoch | metrics
1825 | 0.3482 | epoch=0.3482492128613682, grad_norm=0.5275371074676514, learning_rate=4.932352941176471e-05, loss=0.30141908645629883
1850 | 0.3530 | epoch=0.35301975002385266, grad_norm=0.30894413590431213, learning_rate=4.858823529411765e-05, loss=0.3056314849853516
1875 | 0.3578 | epoch=0.3577902871863372, grad_norm=0.5252236723899841, learning_rate=4.785294117647059e-05, loss=0.2641859436035156
1900 | 0.3626 | epoch=0.3625608243488217, grad_norm=0.3524625599384308, learning_rate=4.711764705882353e-05, loss=0.24516574859619142
1900 | 0.3626 | epoch=0.3625608243488217, eval_loss=0.24686315655708313, eval_runtime=635.9963, eval_samples_per_second=1.657, eval_steps_per_second=0.208, eval_wer=0.3925982449446776
1925 | 0.3673 | epoch=0.3673313615113062, grad_norm=0.31661364436149597, learning_rate=4.638235294117647e-05, loss=0.19828359603881837
1950 | 0.3721 | epoch=0.3721018986737907, grad_norm=0.3764582574367523, learning_rate=4.564705882352941e-05, loss=0.28936573028564455
1975 | 0.3769 | epoch=0.37687243583627517, grad_norm=0.5580374598503113, learning_rate=4.4911764705882354e-05, loss=0.2751074028015137
2000 | 0.3816 | epoch=0.38164297299875966, grad_norm=0.709889829158783, learning_rate=4.4176470588235296e-05, loss=0.2570821762084961
2000 | 0.3816 | epoch=0.38164297299875966, eval_loss=0.24678488075733185, eval_runtime=647.5131, eval_samples_per_second=1.628, eval_steps_per_second=0.204, eval_wer=0.3927890118275467
2025 | 0.3864 | epoch=0.38641351016124414, grad_norm=0.4260813295841217, learning_rate=4.344117647058824e-05, loss=0.2615959358215332
2050 | 0.3912 | epoch=0.39118404732372863, grad_norm=0.5038745403289795, learning_rate=4.270588235294118e-05, loss=0.2435462188720703
2075 | 0.3960 | epoch=0.3959545844862131, grad_norm=0.3789791762828827, learning_rate=4.197058823529412e-05, loss=0.21929670333862306
2100 | 0.4007 | epoch=0.40072512164869767, grad_norm=0.3964996635913849, learning_rate=4.123529411764706e-05, loss=0.20691530227661134
2100 | 0.4007 | epoch=0.40072512164869767, eval_loss=0.2463243007659912, eval_runtime=656.1895, eval_samples_per_second=1.606, eval_steps_per_second=0.201, eval_wer=0.3939972020857179
2125 | 0.4055 | epoch=0.40549565881118216, grad_norm=0.4936876893043518, learning_rate=4.05e-05, loss=0.28138404846191406
2150 | 0.4103 | epoch=0.41026619597366665, grad_norm=0.25766104459762573, learning_rate=3.976470588235294e-05, loss=0.2685003089904785
2175 | 0.4150 | epoch=0.41503673313615114, grad_norm=0.4977404475212097, learning_rate=3.9029411764705884e-05, loss=0.1859574317932129
2200 | 0.4198 | epoch=0.4198072702986356, grad_norm=0.4043278396129608, learning_rate=3.8294117647058826e-05, loss=0.24944698333740234
2200 | 0.4198 | epoch=0.4198072702986356, eval_loss=0.24680779874324799, eval_runtime=679.1902, eval_samples_per_second=1.552, eval_steps_per_second=0.194, eval_wer=0.39685870532875495
2225 | 0.4246 | epoch=0.4245778074611201, grad_norm=0.5016666650772095, learning_rate=3.755882352941177e-05, loss=0.2366488265991211
2250 | 0.4293 | epoch=0.4293483446236046, grad_norm=0.3958987891674042, learning_rate=3.682352941176471e-05, loss=0.23605016708374024
2275 | 0.4341 | epoch=0.4341188817860891, grad_norm=0.5958560109138489, learning_rate=3.608823529411765e-05, loss=0.2443941879272461
2300 | 0.4389 | epoch=0.4388894189485736, grad_norm=0.3907463550567627, learning_rate=3.535294117647059e-05, loss=0.20217227935791016
2300 | 0.4389 | epoch=0.4388894189485736, eval_loss=0.24693234264850616, eval_runtime=701.7527, eval_samples_per_second=1.502, eval_steps_per_second=0.188, eval_wer=0.40258171181482894
2325 | 0.4437 | epoch=0.44365995611105813, grad_norm=0.341744065284729, learning_rate=3.461764705882353e-05, loss=0.2646055221557617
2350 | 0.4484 | epoch=0.4484304932735426, grad_norm=0.35708317160606384, learning_rate=3.388235294117647e-05, loss=0.21349504470825195
2375 | 0.4532 | epoch=0.4532010304360271, grad_norm=0.32146865129470825, learning_rate=3.3147058823529414e-05, loss=0.21870725631713867
2400 | 0.4580 | epoch=0.4579715675985116, grad_norm=0.444634348154068, learning_rate=3.2411764705882356e-05, loss=0.24317371368408203
2400 | 0.4580 | epoch=0.4579715675985116, eval_loss=0.2469237893819809, eval_runtime=699.8575, eval_samples_per_second=1.506, eval_steps_per_second=0.189, eval_wer=0.3997202085717919
2425 | 0.4627 | epoch=0.4627421047609961, grad_norm=0.46834447979927063, learning_rate=3.16764705882353e-05, loss=0.25976362228393557
2450 | 0.4675 | epoch=0.4675126419234806, grad_norm=0.544060230255127, learning_rate=3.094117647058823e-05, loss=0.23851497650146483
2475 | 0.4723 | epoch=0.47228317908596507, grad_norm=0.38298189640045166, learning_rate=3.020588235294118e-05, loss=0.22074493408203125
2500 | 0.4771 | epoch=0.47705371624844956, grad_norm=0.35739102959632874, learning_rate=2.9470588235294117e-05, loss=0.23288969039916993
2500 | 0.4771 | epoch=0.47705371624844956, eval_loss=0.24703936278820038, eval_runtime=648.2379, eval_samples_per_second=1.626, eval_steps_per_second=0.204, eval_wer=0.3954597481877146
2525 | 0.4818 | epoch=0.48182425341093404, grad_norm=0.3016059398651123, learning_rate=2.8735294117647062e-05, loss=0.21870210647583008
2550 | 0.4866 | epoch=0.4865947905734186, grad_norm=0.4880201816558838, learning_rate=2.8000000000000003e-05, loss=0.2513753318786621
2575 | 0.4914 | epoch=0.4913653277359031, grad_norm=0.5079697966575623, learning_rate=2.726470588235294e-05, loss=0.2210979652404785
2600 | 0.4961 | epoch=0.49613586489838757, grad_norm=0.32856249809265137, learning_rate=2.6529411764705885e-05, loss=0.21452173233032226
2600 | 0.4961 | epoch=0.49613586489838757, eval_loss=0.2470092475414276, eval_runtime=698.7568, eval_samples_per_second=1.508, eval_steps_per_second=0.189, eval_wer=0.3946966806562381
2625 | 0.5009 | epoch=0.500906402060872, grad_norm=0.26813629269599915, learning_rate=2.5794117647058823e-05, loss=0.27149396896362304
2650 | 0.5057 | epoch=0.5056769392233565, grad_norm=0.5650002360343933, learning_rate=2.5058823529411768e-05, loss=0.24317510604858397
2675 | 0.5104 | epoch=0.5104474763858411, grad_norm=0.6646319031715393, learning_rate=2.4323529411764706e-05, loss=0.18708034515380859
2700 | 0.5152 | epoch=0.5152180135483255, grad_norm=0.5017879605293274, learning_rate=2.3588235294117647e-05, loss=0.2535993576049805
2700 | 0.5152 | epoch=0.5152180135483255, eval_loss=0.24657735228538513, eval_runtime=699.398, eval_samples_per_second=1.507, eval_steps_per_second=0.189, eval_wer=0.39132646572555
2725 | 0.5200 | epoch=0.5199885507108101, grad_norm=0.31643396615982056, learning_rate=2.2852941176470588e-05, loss=0.2361045265197754
2750 | 0.5248 | epoch=0.5247590878732945, grad_norm=0.3073185682296753, learning_rate=2.2117647058823533e-05, loss=0.19391992568969726
2775 | 0.5295 | epoch=0.529529625035779, grad_norm=0.5738920569419861, learning_rate=2.1382352941176474e-05, loss=0.2692044067382813
2800 | 0.5343 | epoch=0.5343001621982635, grad_norm=0.3757368326187134, learning_rate=2.0647058823529415e-05, loss=0.21669496536254884
2800 | 0.5343 | epoch=0.5343001621982635, eval_loss=0.246679425239563, eval_runtime=701.1378, eval_samples_per_second=1.503, eval_steps_per_second=0.188, eval_wer=0.40080122090805037
2825 | 0.5391 | epoch=0.539070699360748, grad_norm=0.4437061548233032, learning_rate=1.9911764705882353e-05, loss=0.24499414443969728
2850 | 0.5438 | epoch=0.5438412365232325, grad_norm=0.6298242807388306, learning_rate=1.9176470588235294e-05, loss=0.22893762588500977
2875 | 0.5486 | epoch=0.548611773685717, grad_norm=0.41341763734817505, learning_rate=1.8441176470588236e-05, loss=0.1917681884765625
2900 | 0.5534 | epoch=0.5533823108482016, grad_norm=0.5867257714271545, learning_rate=1.7705882352941177e-05, loss=0.24616992950439454
2900 | 0.5534 | epoch=0.5533823108482016, eval_loss=0.24677996337413788, eval_runtime=687.9357, eval_samples_per_second=1.532, eval_steps_per_second=0.192, eval_wer=0.39437873585145616
2925 | 0.5582 | epoch=0.558152848010686, grad_norm=0.4286576509475708, learning_rate=1.6970588235294118e-05, loss=0.24770069122314453
2950 | 0.5629 | epoch=0.5629233851731705, grad_norm=0.2792457640171051, learning_rate=1.623529411764706e-05, loss=0.2576857376098633
2975 | 0.5677 | epoch=0.567693922335655, grad_norm=0.22052587568759918, learning_rate=1.55e-05, loss=0.2504265785217285
3000 | 0.5725 | epoch=0.5724644594981395, grad_norm=0.5089625716209412, learning_rate=1.4764705882352942e-05, loss=0.24524812698364257
3000 | 0.5725 | epoch=0.5724644594981395, eval_loss=0.2471131980419159, eval_runtime=684.2739, eval_samples_per_second=1.54, eval_steps_per_second=0.193, eval_wer=0.39329772351519776
3025 | 0.5772 | epoch=0.577234996660624, grad_norm=0.3692705035209656, learning_rate=1.4029411764705883e-05, loss=0.21501436233520507
3050 | 0.5820 | epoch=0.5820055338231085, grad_norm=0.3207941949367523, learning_rate=1.3294117647058824e-05, loss=0.20239992141723634
3075 | 0.5868 | epoch=0.5867760709855929, grad_norm=0.3507697880268097, learning_rate=1.2558823529411764e-05, loss=0.21471559524536132
3100 | 0.5915 | epoch=0.5915466081480775, grad_norm=0.48896270990371704, learning_rate=1.1823529411764707e-05, loss=0.25852527618408205
3100 | 0.5915 | epoch=0.5915466081480775, eval_loss=0.24719204008579254, eval_runtime=703.9501, eval_samples_per_second=1.497, eval_steps_per_second=0.188, eval_wer=0.400737631947094
3125 | 0.5963 | epoch=0.596317145310562, grad_norm=0.3496869206428528, learning_rate=1.1088235294117648e-05, loss=0.23432880401611328
3150 | 0.6011 | epoch=0.6010876824730464, grad_norm=0.62742018699646, learning_rate=1.035294117647059e-05, loss=0.24858728408813477
3175 | 0.6059 | epoch=0.605858219635531, grad_norm=0.32239311933517456, learning_rate=9.61764705882353e-06, loss=0.2059154510498047
3200 | 0.6106 | epoch=0.6106287567980154, grad_norm=0.40653863549232483, learning_rate=8.88235294117647e-06, loss=0.21158788681030274
3200 | 0.6106 | epoch=0.6106287567980154, eval_loss=0.24714764952659607, eval_runtime=703.8539, eval_samples_per_second=1.497, eval_steps_per_second=0.188, eval_wer=0.40086480986900674
3225 | 0.6154 | epoch=0.6153992939605, grad_norm=0.5936654210090637, learning_rate=8.147058823529411e-06, loss=0.2386402130126953
3250 | 0.6202 | epoch=0.6201698311229844, grad_norm=0.3726035952568054, learning_rate=7.411764705882353e-06, loss=0.21540477752685547
3275 | 0.6249 | epoch=0.624940368285469, grad_norm=0.5662060379981995, learning_rate=6.676470588235294e-06, loss=0.25583635330200194
3300 | 0.6297 | epoch=0.6297109054479534, grad_norm=0.3594270646572113, learning_rate=5.941176470588235e-06, loss=0.22591331481933594
3300 | 0.6297 | epoch=0.6297109054479534, eval_loss=0.24709594249725342, eval_runtime=706.3985, eval_samples_per_second=1.492, eval_steps_per_second=0.187, eval_wer=0.39774895078214423
3325 | 0.6345 | epoch=0.6344814426104379, grad_norm=0.2629898190498352, learning_rate=5.205882352941176e-06, loss=0.2253780746459961
3350 | 0.6393 | epoch=0.6392519797729225, grad_norm=0.5741814374923706, learning_rate=4.4705882352941184e-06, loss=0.26031553268432617
3375 | 0.6440 | epoch=0.6440225169354069, grad_norm=0.306106835603714, learning_rate=3.7352941176470593e-06, loss=0.252932071685791
3400 | 0.6488 | epoch=0.6487930540978915, grad_norm=0.36467450857162476, learning_rate=3e-06, loss=0.21866144180297853
3400 | 0.6488 | epoch=0.6487930540978915, eval_loss=0.24713492393493652, eval_runtime=720.2125, eval_samples_per_second=1.463, eval_steps_per_second=0.183, eval_wer=0.4013735215566578
3425 | 0.6536 | epoch=0.6535635912603759, grad_norm=0.728938639163971, learning_rate=2.2647058823529413e-06, loss=0.24488433837890625
3450 | 0.6583 | epoch=0.6583341284228604, grad_norm=0.19871483743190765, learning_rate=1.5294117647058826e-06, loss=0.21819549560546875
3475 | 0.6631 | epoch=0.6631046655853449, grad_norm=0.49051061272621155, learning_rate=7.941176470588235e-07, loss=0.23975500106811523
3500 | 0.6679 | epoch=0.6678752027478294, grad_norm=0.27909284830093384, learning_rate=5.88235294117647e-08, loss=0.26343297958374023
3500 | 0.6679 | epoch=0.6678752027478294, eval_loss=0.24711138010025024, eval_runtime=741.4755, eval_samples_per_second=1.421, eval_steps_per_second=0.178, eval_wer=0.40169146636143965
3500 | 0.6679 | epoch=0.6678752027478294, total_flos=1.623212752896e+19, train_loss=0.13699110276358467, train_runtime=19148.9876, train_samples_per_second=2.924, train_steps_per_second=0.183
3500 | 0.6679 | epoch=0.6678752027478294, eval_loss=0.24656113982200623, eval_runtime=588.225, eval_samples_per_second=1.792, eval_steps_per_second=0.224, eval_wer=0.38910085209207684

final_eval | {'eval_loss': 0.24656113982200623, 'eval_wer': 0.38910085209207684, 'eval_runtime': 588.225, 'eval_samples_per_second': 1.792, 'eval_steps_per_second': 0.224, 'epoch': 0.6678752027478294}
baseline_wer=40.58% | lora_wer=38.91% | improvement=+1.67%
